file,title,owner_subsystem,bytes,category,recommendation
artifacts/robustness_report.md,Phase 8E — Robustness Stress Test Report,artifacts,1911,report/audit,review
artifacts/sota_report.md,Phase 8C — SOTA Benchmark Report,artifacts,2312,report/audit,review
benchmark/README.md,Legacy Benchmark Documentation,benchmark,1176,README,review
dashboard/AGENTS.md,This is NOT the Next.js you know,dashboard,327,documentation,keep
dashboard/CLAUDE.md,,dashboard,11,documentation,keep
dashboard/README.md,Dashboard,dashboard,1497,README,keep
datasets/README.md,Datasets,datasets,1168,README,review
docs/ABSTRACTION_LAYER.md,Capa de Abstracciones del Sistema (Fase 0B.2),docs,2792,documentation,keep
docs/ACTION_COMPARISON_MATRIX.md,Matriz Comparativa de Reconstrucción de la Acción Efectiva (Fase 7),docs,3667,documentation,keep
docs/ADAPTER_COMPATIBILITY_REPORT.md,Reporte de Compatibilidad y Adaptadores (Fase 0C.2),docs,2079,report/audit,keep
docs/ADVERSARIAL_EVIDENCE_REPORT.md,Adversarial Evidence Report — Forensic Audit,docs,2875,report/audit,keep
docs/ADVERSARIAL_TOURNAMENT_REPORT.md,Adversarial Model Tournament Report -- Phase X-G,docs,1400,report/audit,keep
docs/AGENT_AUDIT_AND_ROADMAP.md,Auditoría de Capacidades Científicas y Arquitectura Multiagente,docs,15514,report/audit,keep
docs/ALGORITHM_DISCOVERY_READINESS.md,Algorithm Discovery Readiness -- QADE Product Transition,docs,2610,report/audit,keep
docs/ALL_COMPILERS_BENCHMARK_REPORT.md,Unified Quantum Compiler Performance Leaderboard,docs,2272,report/audit,keep
docs/ALTERNATIVE_EXPLANATION_AUDIT.md,Alternative Explanation Elimination Report — Phase 4H,docs,6023,report/audit,keep
docs/ALTERNATIVE_EXPLANATION_REPORT.md,Alternative Explanation Factory Report -- Phase XI-D,docs,1482,report/audit,keep
docs/API_READINESS_REPORT.md,API Readiness Report -- QADE Optimization Service,docs,2541,report/audit,keep
docs/ARCHITECTURE.md,System Architecture Snapshot,docs,5634,documentation,keep
docs/ARCHITECTURE_AUDIT.md,Auditoría Arquitectónica del Sistema Científico Autónomo (Fase 0.1),docs,4567,report/audit,keep
docs/ASSUMPTION_DESTRUCTION_REPORT.md,Assumption Destruction Engine Report -- Phase XI-C,docs,1481,report/audit,keep
docs/ASYMPTOTIC_SAFETY_ACTION.md,Acción Efectiva de Seguridad Asintótica (AS) para Hayward (Fase 6),docs,4115,documentation,keep
docs/ASYMPTOTIC_SAFETY_COMPATIBILITY.md,Compatibilidad con Seguridad Asintótica (Asymptotic Safety) (Fase 3),docs,3045,documentation,keep
docs/ASYMPTOTIC_SAFETY_INFORMATION.md,Phase 39.0 - Asymptotic Safety Information Audit,docs,1270,documentation,keep
docs/AUTONOMOUS_DISCOVERY_REPORT.md,Autonomous Scaffold Discovery Engine Report — Phase 1H,docs,1626,report/audit,keep
docs/BAYESIAN_THEORY_REPORT.md,Bayesian Theory Updating Report — Phase 2D / 3A.1,docs,2651,report/audit,keep
docs/BEKENSTEIN_HAWKING_AUDIT.md,Phase 38.0 - Bekenstein-Hawking Entropy Audit,docs,1629,report/audit,keep
docs/BENCHMARK_DIVERSITY_REPORT.md,Benchmark Diversity Audit Report — Phase 3A.5,docs,766,report/audit,keep
docs/BIASED_RETRIEVAL_REPORT.md,Reporte de Auditoría de Recuperación Sesgada y Diversidad (Fase 1D.3),docs,2219,report/audit,keep
docs/BLIND_BENCHMARK_REPORT.md,Validation Report: Strict Isolated Blind Benchmark,docs,3546,report/audit,keep
docs/BLIND_PREDICTION_EVIDENCE_REPORT.md,Blind Prediction Evidence Report — Forensic Audit,docs,2627,report/audit,keep
docs/CALIBRATION_DIVERSITY_REPORT.md,Calibration Diversity Audit Report — Phase 3A.5,docs,12950,report/audit,keep
docs/CANONICAL_VARIABLES.md,Phase 37.0 - Canonical Variables,docs,4272,documentation,keep
docs/CAPABILITIES.md,Emergent System Capabilities,docs,2104,documentation,keep
docs/CHAIN_OF_CUSTODY_REPORT.md,Chain of Custody Verification Report -- Phase X-B,docs,372,report/audit,keep
docs/CIRCULAR_VALIDATION_REPORT.md,Circular Validation Audit Report -- Phase X-D,docs,519,report/audit,keep
docs/CLASSICAL_FACTORY_REPORT.md,Reporte de la Factoría Clásica (Fase 0D.7),docs,2779,report/audit,keep
docs/COMMUNITY_ACCEPTANCE_REPORT.md,Community Acceptance Simulator Report -- Phase XI-H,docs,1335,report/audit,keep
docs/COMPARISON_BEFORE_AFTER.md,Comparative Analysis: Search Space Expansion Results,docs,5221,documentation,keep
docs/COMPILER_CAPABILITY_REPORT.md,Compiler Capability & Benchmarking Report -- QADE Optimization,docs,2003,report/audit,keep
docs/CONTEXT_AWARE_MEMORY_REPORT.md,Reporte de Validación de Memoria Sensible al Contexto y Recuperación Condicional (Fase 1D.5),docs,4061,report/audit,keep
docs/CORRELATION_FORENSICS_REPORT.md,Correlation Forensics Report — Phase 3A.5,docs,1102,report/audit,keep
docs/COSMOLOGY_IMPLICATIONS.md,Implicaciones Cosmológicas y Abundancia de Remanentes (Fase 5),docs,3135,documentation,keep
docs/COUNTERFACTUAL_EVIDENCE_REPORT.md,Counterfactual Evidence Audit Report — Phase 3A.5,docs,1361,report/audit,keep
docs/CROSS_LAB_REPRODUCTION.md,Cross-Lab Simulation Reproduction Report — Phase 3B.2,docs,687,documentation,keep
docs/CUQUANTUM_REPORT.md,cuQuantum Integration and Scaling Report (Component A),docs,1786,report/audit,keep
docs/DATABASE_EVIDENCE_REPORT.md,Database Evidence Report — SQLite Forensics,docs,5229,report/audit,keep
docs/DEEPTECH_GRANT_READINESS.md,Deep Tech Grant Readiness Assessment,docs,2802,report/audit,keep
docs/DEPENDENCY_INJECTION_REPORT.md,Reporte de Inyección de Dependencias (Fase 0D.7),docs,3257,report/audit,keep
docs/DEPENDENCY_MAP.md,Mapa de Dependencias y Acoplamiento del Sistema (Fase 0.2 — 0.5),docs,6358,documentation,keep
docs/DIAGNOSTIC_REPORT.md,Diagnostic Report: TheoryCritic Falsification & Separation Audit,docs,6951,report/audit,keep
docs/DISCOVERED_LAWS.md,Reality-Native Discovered Laws Report — Phase 3B,docs,591,documentation,keep
docs/DISCOVERED_MECHANISMS.md,Reality-Native Discovered Mechanisms Report — Phase 3B,docs,873,documentation,keep
docs/DISCOVERY_AUTHENTICITY_REPORT.md,Discovery Authenticity Report — Phase 1H.1,docs,1901,report/audit,keep
docs/DISCOVERY_READINESS_REPORT.md,Discovery Readiness Report — Phase 3A.5,docs,1010,report/audit,keep
docs/DOCUMENT_CONSOLIDATION_REPORT.md,Document Consolidation Report,docs,3795,report/audit,keep
docs/DOMAIN_DEPENDENCY_REPORT.md,Domain Dependency Report,docs,3557,report/audit,keep
docs/DOMAIN_REGISTRY_REPORT.md,Reporte de Domain Registry (Fase 0E.7),docs,2977,report/audit,keep
docs/DOUBLE_BLIND_REPORT.md,Double Blind Reproduction Report -- Phase X-F,docs,582,report/audit,keep
docs/ECONOMIC_VALUE_REPORT.md,Theory Economics & Financial Value Report — Phase 3C,docs,1613,report/audit,keep
docs/EFFECTIVE_SAMPLE_SIZE_REPORT.md,Effective Sample Size (ESS) Audit Report — Phase 3A.5,docs,982,report/audit,keep
docs/EFT_COMPATIBILITY.md,Compatibilidad con Teorías de Campo Efectivas (EFT) (Fase 4),docs,3029,documentation,keep
docs/EHT_PREDICTIONS.md,Predicciones Observacionales de Sombras de Agujeros Negros — EHT (Fase 1),docs,3162,documentation,keep
docs/EINSTEIN_RECONSTRUCTION.md,Reconstrucción Einsteiniana del Candidato Hayward (Fase 1),docs,4929,documentation,keep
docs/EMERGENCE_OF_GR.md,Phase 40.0 - Emergence of General Relativity,docs,1842,documentation,keep
docs/EMERGENT_KNOWLEDGE_REPORT.md,Reporte de Validación de Conocimiento Emergente (Fase 1E.1),docs,4723,report/audit,keep
docs/ENTANGLEMENT_ENTROPY_AUDIT.md,Phase 39.0 - Entanglement Entropy Audit,docs,2074,report/audit,keep
docs/EVIDENCE_QUALITY_REPORT.md,Evidence Quality Assessment Report -- Phase XI-F,docs,364,report/audit,keep
docs/EVIDENCE_STRESS_TEST_REPORT.md,Scientific Evidence Stress Test Report — Phase 3A.5,docs,960,report/audit,keep
docs/EXPERIMENT_LOG.md,Scientific Experiment Log,docs,176825,documentation,keep
docs/EXTERNAL_HARDWARE_REPORT.md,External Hardware Challenge Report -- Phase X-H,docs,1012,report/audit,keep
docs/EXTERNAL_PANEL_REPORT.md,External Review Panel Report -- Phase X-J,docs,773,report/audit,keep
docs/EXTERNAL_REIMPLEMENTATION_REPORT.md,Clean-Room Reimplementation Challenge Report — Phase 3B.2,docs,701,report/audit,keep
docs/FAILURE_CAUSE_REPORT.md,Failure Cause Attribution Report — Phase 2D,docs,1223,report/audit,keep
docs/FALSE_DISCOVERY_REPORT.md,False Discovery Control Report — Phase 3C,docs,443,report/audit,keep
docs/FALSIFICATION_AUDIT.md,Auditoría de Falsabilidad Cuantitativa del Candidato Hayward (Fase 6),docs,5174,report/audit,keep
docs/FALSIFICATION_REPORT.md,Adversarial Scientific Review Report — Phase 3B,docs,755,report/audit,keep
docs/FILES_SAFE_TO_DELETE.md,Files Safe To Delete,docs,2032,documentation,keep
docs/FINAL_EPISTEMIC_VERDICT.md,Final Epistemic Verdict — Phase 3B.1,docs,974,report/audit,keep
docs/FINAL_EXTERNAL_AUDIT_REPORT.md,Final External Audit Verdict -- Phase X-L,docs,956,report/audit,keep
docs/FINAL_FACTORY_VERDICT.md,Final Theory Factory Epistemic Classification Verdict — Phase 3C,docs,843,report/audit,keep
docs/FINAL_NOVEL_PHYSICS_VERDICT.md,Final Epistemic Verdict — Phase 4L,docs,522,report/audit,keep
docs/FINAL_PHASE_2B_VERDICT.md,Final Scientific Verdict — Phase 2B,docs,1005,report/audit,keep
docs/FINAL_PHASE_2C_VERDICT.md,Final Phase 2C Verdict,docs,723,report/audit,keep
docs/FINAL_PHASE_3A5_VERDICT.md,Final Phase 3A.5 Scientific Verdict Report,docs,1273,report/audit,keep
docs/FINAL_PHASE_3A_VERDICT.md,Final Phase 3A Verdict,docs,886,report/audit,keep
docs/FINAL_REPRODUCTION_VERDICT.md,Final Reproduction Verdict — Phase 3B.2,docs,810,report/audit,keep
docs/FINAL_REVISED_VERDICT.md,Final Phase 2D / 3A.1 Verdict Report,docs,727,report/audit,keep
docs/FINAL_SCIENTIFIC_VERDICT.md,Final Scientific Standing Report -- Phase XI-J,docs,696,report/audit,keep
docs/FINE_TUNING_AUDIT.md,Auditoría de Ajuste Fino (Fine-Tuning Audit) (Fase 6),docs,3319,report/audit,keep
docs/FORENSIC_EXPORT_MANIFEST.md,Forensic Export Manifest -- Phase X-A,docs,2977,documentation,keep
docs/FORENSIC_PHASE_3B_FINAL_VERDICT.md,Forensic Phase 3B Final Verdict — Forensic Audit,docs,2787,report/audit,keep
docs/FR_GRAVITY_AUDIT.md,Auditoría de Gravedad $f(R)$ para el Candidato Hayward (Fase 2),docs,5313,report/audit,keep
docs/GEOMETRIC_OPERATORS.md,Phase 37.0 - Geometric Operators,docs,2179,documentation,keep
docs/GRAPH_ANALYTICS_REPORT.md,Advanced Knowledge Graph Analytics Report (Component G),docs,2014,report/audit,keep
docs/HAMILTONIAN_AUDIT.md,Phase 37.0 - Hamiltonian Audit,docs,3282,report/audit,keep
docs/HARDWARE_ADVERSARY_REPORT.md,Hardware Adversarial Stress Report — Phase 3A,docs,983,report/audit,keep
docs/HARDWARE_CALIBRATION_REPORT.md,Hardware Calibration Robustness Report — Phase 3A,docs,867,report/audit,keep
docs/HARDWARE_EVIDENCE_INVENTORY.md,Hardware Evidence Inventory Report — Phase 3A.5,docs,1210,documentation,keep
docs/HARDWARE_EVOLUTION_REPORT.md,Hardware Reality Theory Evolution Report — Phase 3A,docs,1265,report/audit,keep
docs/HARDWARE_FDR_REPORT.md,Hardware False Discovery Control Report — Phase 3A,docs,1487,report/audit,keep
docs/HARDWARE_MECHANISM_REPORT.md,Physical Causal Mechanism Verification Report — Phase 3A,docs,1957,report/audit,keep
docs/HARDWARE_OOD_REPORT.md,Hardware OOD Generalization Report — Phase 3A,docs,880,report/audit,keep
docs/HARDWARE_REPLICATION_REPORT.md,Hardware Replication Report — Phase 3A,docs,851,report/audit,keep
docs/HARDWARE_TEMPORAL_REPORT.md,Hardware Temporal Stability Report — Phase 3A,docs,961,report/audit,keep
docs/HARDWARE_THEORY_LEADERBOARD.md,Hardware Theory Leaderboard — Phase 3A,docs,788,documentation,keep
docs/HAWKING_CORRELATIONS.md,Phase 39.0 - Hawking Correlation Analysis,docs,2032,documentation,keep
docs/HIERARCHICAL_COMPOSITION_REPORT.md,Reporte de Validación de Composición Jerárquica de Conocimiento (Fase 1E),docs,2920,report/audit,keep
docs/HILBERT_SPACE_RECONSTRUCTION.md,Phase 40.0 - Hilbert Space Reconstruction,docs,3081,documentation,keep
docs/HISTORICAL_RECOVERY_REPORT.md,Historical Recovery Report — Phase 2B,docs,893,report/audit,keep
docs/HOSTILE_LEAKAGE_REPORT.md,Hostile Leakage Audit Report -- Phase X-C,docs,1109,report/audit,keep
docs/IMPOSSIBLE_PREDICTIONS.md,Impossible Predictions Report — Phase 4D,docs,3902,documentation,keep
docs/IMPROVEMENT_VERIFICATION_REPORT.md,Improvement Verification Report — Forensic Audit,docs,1375,report/audit,keep
docs/INDEPENDENT_CONFIRMATION_REPORT.md,Independent Confirmation Report — Phase 2C,docs,1249,report/audit,keep
docs/INDEPENDENT_PHYSICS_REVIEW.md,Independent Physics Review -- Phase X-I,docs,1764,documentation,keep
docs/INDEPENDENT_PREDICTION_AUDIT.md,Independent Prediction Audit & Adversarial Review — Phase 3B.1,docs,949,report/audit,keep
docs/INDEPENDENT_REANALYSIS_REPORT.md,Independent Reanalysis Program Report -- Phase XI-B,docs,1256,report/audit,keep
docs/INDEPENDENT_REPRODUCTION_REPORT.md,Independent Reproduction Report — Phase 3B.2,docs,1637,report/audit,keep
docs/INFORMATION_COMPARISON_MATRIX.md,Phase 38.0 - Information Comparison Matrix,docs,1920,documentation,keep
docs/INFORMATION_PARADOX_AUDIT.md,Phase 38.0 - Information Paradox Audit,docs,2361,report/audit,keep
docs/INFORMATION_RECOVERY_MATRIX.md,Phase 39.0 - Comparative Information Recovery Matrix,docs,1620,documentation,keep
docs/INFORMATION_STORAGE.md,Phase 38.0 - Information Storage Capacity,docs,2470,documentation,keep
docs/INSPIRAL_PREDICTIONS.md,Predicciones Observacionales en la Fase de Coalescencia (Inspiral) (Fase 3),docs,2477,documentation,keep
docs/KNOWLEDGE_GRAPH_MOAT_REPORT.md,Knowledge Graph Monetization & Technical Moat Report,docs,2307,report/audit,keep
docs/KNOWLEDGE_QUALITY_REPORT.md,Reporte de Auditoría de Calidad del Conocimiento (Fase 1D.2),docs,2966,report/audit,keep
docs/KNOWLEDGE_REPRESENTATION_REPORT.md,Reporte de Auditoría de Representación del Conocimiento (Fase 1D.4),docs,4714,report/audit,keep
docs/KNOWLEDGE_REUSE_AUDIT_REPORT.md,Reporte de Auditoría Causal de Reutilización de Conocimiento (Fase 1D.1),docs,2066,report/audit,keep
docs/LAW_BLIND_VALIDATION_REPORT.md,Law Blind Validation Report — Phase 2B,docs,2878,report/audit,keep
docs/LAW_CAUSALITY_REPORT.md,Law Causality Report (Component Q),docs,5401,report/audit,keep
docs/LAW_COMPRESSION_REPORT.md,Law Compression Report — Phase 2B,docs,1906,report/audit,keep
docs/LAW_COUNTEREXAMPLE_REPORT.md,Law Counterexample Report — Phase 2B,docs,4486,report/audit,keep
docs/LAW_DISCOVERY_REPORT.md,Law Discovery Report (Component Q),docs,4518,report/audit,keep
docs/LAW_EVOLUTION_REPORT.md,Law Evolution Report (Component Q),docs,4718,report/audit,keep
docs/LAW_FALSIFICATION_REPORT.md,Law Falsification Report (Component Q),docs,2230,report/audit,keep
docs/LAW_FDR_REPORT.md,Law False Discovery Rate Report — Phase 2B,docs,3562,report/audit,keep
docs/LAW_HOLDOUT_REPORT.md,Law Holdout Report — Phase 2B,docs,1877,report/audit,keep
docs/LAW_MEMORY_REPORT.md,Law Memory Report (Component Q),docs,4234,report/audit,keep
docs/LAW_MINIMALITY_REPORT.md,Law Minimality Report — Phase 2B,docs,3410,report/audit,keep
docs/LAW_REPLICATION_REPORT.md,Law Replication Report — Phase 2B,docs,3377,report/audit,keep
docs/LAW_TOURNAMENT_REPORT.md,Law Tournament Report (Component Q),docs,5406,report/audit,keep
docs/LEAKAGE_AUDIT.md,Leakage Forensics Audit Report — Phase 3B.2,docs,445,report/audit,keep
docs/LEAKAGE_AUDIT_REPORT.md,Dependence & Leakage Audit Report — Phase 3A.5,docs,963,report/audit,keep
docs/LISA_FORECAST.md,Pronóstico de Detectabilidad para el Observatorio Espacial LISA (Fase 4),docs,3032,documentation,keep
docs/LOCKED_PREDICTIONS.md,Preregistered Prediction Lock Ledger — Phase 3B.2,docs,518,documentation,keep
docs/LQG_COMPATIBILITY.md,Compatibilidad con Gravedad Cuántica de Bucles (LQG) (Fase 2),docs,3506,documentation,keep
docs/LQG_EFFECTIVE_ACTION.md,Acción Efectiva de Gravedad Cuántica de Bucles (LQG) para Hayward (Fase 5),docs,4035,documentation,keep
docs/LQG_INFORMATION_RECOVERY.md,Phase 39.0 - LQG Information Recovery,docs,1743,documentation,keep
docs/MASS_CONFIRMATION_REPORT.md,Mass Theory Confirmation Report — Phase 3C,docs,1602,report/audit,keep
docs/MASS_REPRODUCTION_REPORT.md,Mass Theory Reproduction Report — Phase 3C,docs,1432,report/audit,keep
docs/MECHANISM_REPORT.md,Mechanism Report — Phase 2C,docs,1173,report/audit,keep
docs/META_ANALYSIS_REPORT.md,Project Meta-Analysis Report -- Phase XI-I,docs,1334,report/audit,keep
docs/META_LAW_REPORT.md,Meta-Law Discovery Report (Component Q),docs,872,report/audit,keep
docs/META_LAW_VALIDATION_REPORT.md,Meta-Law Validation Report — Phase 2B,docs,640,report/audit,keep
docs/META_REPRODUCTION_REPORT.md,Meta-Reproduction Report -- Phase X-K,docs,503,report/audit,keep
docs/MICROSCOPIC_COMPARISON_MATRIX.md,Phase 40.0 - Microscopic Comparison Matrix,docs,1456,documentation,keep
docs/MICROSCOPIC_DEGREES_OF_FREEDOM.md,Phase 40.0 - Microscopic Degrees of Freedom,docs,2664,documentation,keep
docs/MICROSCOPIC_RECONSTRUCTION.md,Reconstrucción Física del Candidato Hayward (Fase 1),docs,4888,documentation,keep
docs/MICROSTATE_ESTIMATE.md,Phase 38.0 - Microstate Estimate,docs,1656,documentation,keep
docs/MULTI_DOMAIN_DISCOVERY_REPORT.md,Multi-Domain Theory Discovery Report — Phase 3C,docs,2440,report/audit,keep
docs/MULTI_LAB_CONSENSUS.md,Multi-Lab Consensus Engine Report -- Phase XI-E,docs,1110,documentation,keep
docs/NOISE_META_LAWS.md,Noise Meta-Law Discovery Report — Phase 2D / 3A.1,docs,1395,documentation,keep
docs/NOISE_REDUNDANCY_REPORT.md,Noise Law Redundancy Audit Report — Phase 3A.5,docs,1223,report/audit,keep
docs/NOISE_RESILIENCE_REPORT.md,Noise Resilience and Error Mitigation Report (Component C),docs,1993,report/audit,keep
docs/NONLOCAL_GRAVITY_AUDIT.md,Auditoría de Gravedad No Local para el Candidato Hayward (Fase 4),docs,4466,report/audit,keep
docs/NOVEL_EFFECT_REPORT.md,Novel Effect Extraction Report — Phase 4C,docs,1959,report/audit,keep
docs/NOVEL_EXPERIMENTAL_DESIGN.md,Experimental Stress Design Report — Phase 4E,docs,1790,documentation,keep
docs/NOVEL_PHYSICS_IMPACT.md,Physics Impact Assessment Report — Phase 4K,docs,620,documentation,keep
docs/NOVEL_PHYSICS_VALIDATION.md,Independent Hardware Verification Report -- Phase 4G,docs,4421,documentation,keep
docs/NOVEL_PREDICTIONS.md,Novel Predictions Register — Phase 3B,docs,652,documentation,keep
docs/NOVEL_PREDICTION_LOCK.md,Novel Prediction Cryptographic Lock Registry — Phase 4F,docs,496,documentation,keep
docs/ORCHESTRATOR_DEPENDENCY_AUDIT.md,Auditoría de Dependencias del Orquestador (Fase 0D.1),docs,2944,report/audit,keep
docs/PAGE_CURVE_AUDIT.md,Phase 38.0 - Page Curve Audit,docs,2966,report/audit,keep
docs/PAGE_CURVE_MICROSCOPIC.md,Phase 40.0 - Microscopic Page Curve,docs,1624,documentation,keep
docs/PAGE_CURVE_RECONSTRUCTION.md,Phase 39.0 - Page Curve Reconstruction,docs,3004,documentation,keep
docs/PARADOX_RESOLUTION_AUDIT.md,Phase 39.0 - Paradox Resolution Audit,docs,1982,report/audit,keep
docs/PENNYLANE_REPORT.md,PennyLane Hybrid Quantum Learning Report (Component D),docs,1073,report/audit,keep
docs/PHASE30_FINAL_PHYSICAL_AUDIT.md,FASE 8 — Veredicto Final de la Auditoría Física,docs,5058,report/audit,keep
docs/PHASE31_DYNAMIC_STABILITY_REPORT.md,FASE 8 — Reporte Final de Estabilidad Dinámica (Phase 31.0),docs,4444,report/audit,keep
docs/PHASE32_FINAL_FORMATION_REPORT.md,FASE 8 — Reporte Final de Formación Dinámica (Phase 32.0),docs,4142,report/audit,keep
docs/PHASE33_FINAL_INHOMOGENEOUS_REPORT.md,FASE 8 — Reporte Final de Colapso Inhomogéneo y Falsificación,docs,1177,report/audit,keep
docs/PHASE34_FINAL_MICROSCOPIC_AUDIT.md,Reporte Final de Consistencia Microscópica (Fase 34.0),docs,3412,report/audit,keep
docs/PHASE35_FINAL_OBSERVATIONAL_REPORT.md,Reporte Final de Predicciones Observacionales (Fase 35.0),docs,4827,report/audit,keep
docs/PHASE36_FINAL_ACTION_REPORT.md,Reporte Final de Reconstrucción de la Acción Efectiva (Fase 36.0),docs,4725,report/audit,keep
docs/PHASE37_FINAL_QUANTIZATION_REPORT.md,Phase 37.0 - Final Quantization Report,docs,4295,report/audit,keep
docs/PHASE38_FINAL_INFORMATION_REPORT.md,Phase 38.0 - Final Information Report,docs,2644,report/audit,keep
docs/PHASE39_FINAL_PAGE_CURVE_REPORT.md,Phase 39.0 - Final Page Curve Report,docs,2557,report/audit,keep
docs/PHASE3_HARDWARE_AWARE_REPORT.md,QADE Phase III Hardware-Aware Validation Report,docs,2665,report/audit,keep
docs/PHASE3_INVESTOR_SUMMARY.md,QADE Phase III Investor Summary,docs,904,report/audit,keep
docs/PHASE40_FINAL_MICROSCOPIC_REPORT.md,Phase 40.0 - Final Microscopic Completion Report,docs,3685,report/audit,keep
docs/PHASE4_COMMERCIAL_POSITIONING.md,QADE Phase IV Commercial Positioning,docs,2440,report/audit,keep
docs/PHASE4_COMPETITIVE_ADVANTAGE_REPORT.md,QADE Phase IV Competitive Advantage Report,docs,9454,report/audit,keep
docs/PHASE4_INVESTOR_SUMMARY.md,QADE Phase IV Investor Summary,docs,1005,report/audit,keep
docs/PHASE5_INVESTOR_SUMMARY.md,QADE Phase V Investor Summary,docs,811,report/audit,keep
docs/PHASE5_IP_REPORT.md,QADE Phase V IP Report,docs,2411,report/audit,keep
docs/PHASE6_COMPETITIVE_MOAT_REPORT.md,QADE Phase VI Competitive Moat Report,docs,841,report/audit,keep
docs/PHASE6_ECONOMIC_IMPACT_REPORT.md,QADE Phase VI Economic Impact Report,docs,1269,report/audit,keep
docs/PHASE6_INVESTOR_SUMMARY.md,QADE Phase VI Investor Summary,docs,1019,report/audit,keep
docs/PHASE6_IP_VALUATION_REPORT.md,QADE Phase VI IP Valuation Report,docs,366,report/audit,keep
docs/PHASE6_LICENSING_MODEL.md,QADE Phase VI Licensing Model,docs,285,report/audit,keep
docs/PHASE6_RISK_ANALYSIS.md,QADE Phase VI Risk Analysis,docs,1134,report/audit,keep
docs/PHASE7_COMPETITIVE_GAP_REPORT.md,QADE Phase VII Competitive Gap Report,docs,678,report/audit,keep
docs/PHASE7_ECONOMIC_MOAT_REPORT.md,QADE Phase VII Economic Moat Report,docs,1070,report/audit,keep
docs/PHASE7_EXECUTIVE_SUMMARY.md,QADE Phase VII Executive Summary,docs,1305,report/audit,keep
docs/PHASE7_INVESTOR_POSITIONING.md,QADE Phase VII Investor Positioning,docs,748,report/audit,keep
docs/PHASE7_KNOWLEDGE_FLYWHEEL_REPORT.md,QADE Phase VII Knowledge Flywheel Report,docs,1096,report/audit,keep
docs/PHASE7_NETWORK_EFFECT_REPORT.md,QADE Phase VII Network Effect Report,docs,823,report/audit,keep
docs/PHASE7_PLATFORM_ANALYSIS.md,QADE Phase VII Platform Analysis,docs,581,report/audit,keep
docs/PHASE_0B_HASHES.md,Hashes de Integridad de la Fase 0B (Fase 0C.4),docs,1152,report/audit,keep
docs/PHASE_3B_ARTIFACT_INVENTORY.md,Phase 3B Artifact Inventory — Forensic Audit,docs,6455,report/audit,keep
docs/PHASE_STATUS.md,Phase Status Log,docs,9272,report/audit,keep
docs/PLUGIN_LOADER_REPORT.md,Reporte de Plugin Loader (Fase 0E.7),docs,2426,report/audit,keep
docs/POLYMER_QUANTIZATION.md,Phase 37.0 - Polymer Quantization,docs,2299,documentation,keep
docs/POST_IMPROVEMENT_DIAGNOSIS.md,Post-Improvement Diagnosis Report,docs,2512,documentation,keep
docs/PREDICTION_REPORT.md,Prediction Report — Phase 2C,docs,1935,report/audit,keep
docs/PRELIMINARY_ENTROPY_AUDIT.md,Phase 37.0 - Preliminary Entropy Audit,docs,2265,report/audit,keep
docs/PUBLICATION_READINESS_REPORT.md,Publication Readiness Audit Report -- Phase XI-G,docs,1109,report/audit,keep
docs/PYZX_OPTIMIZATION_REPORT.md,PyZX Symbolic Optimization and Synergy Report (Component B),docs,1523,report/audit,keep
